tiempo_prueba,tiempo_medio_clientes,diferencia,fase_prueba,fase_medio_clientes
7.11,9.198077999999999,-2.0880779999999985,[2.],['fit']
9.31,15.290583,-5.980582999999999,[3.],['highlight']
9.99,20.574163499999997,-10.584163499999997,[4.],['body-shape']
6.78,33.3891585,-26.6091585,[5.],['eyes']
6.31,10.674178,-4.364178,[6.],['hair']
6.93,10.566978500000001,-3.6369785000000014,[7.],['sizes']
18.38,30.362349000000002,-11.982349000000003,[8.],['measurements']
13.98,13.1956825,0.7843175000000002,[9.],['focus']
42.98,18.6060655,24.373934499999997,[10.],['adventurous']
27.38,24.3827365,2.997263499999999,[11.],['styles']
38.73,54.678463,-15.948463000000004,[12.],['prices']
7.1,12.466732499999999,-5.3667324999999995,[13.],['avoid']
17.04,18.329674,-1.2896740000000015,[14.],['footwear']
19.73,29.228656,-9.498656,[15.],['you']
13.68,20.663926,-6.983926,[16.],['photos']
18.99,27.532017,-8.542017000000001,[18.],['register']
